,year,rcp,precipitation_mm,rain_days,mean_temp,tmax35,tmin15
46,2034,rcp2p6,826,140,25.789999,107,5
47,2034,rcp8p5,855,143,24.33,21,47
48,2035,rcp2p6,828,152,25.81,72,10
49,2035,rcp8p5,903,149,25.369999,48,3
50,2036,rcp2p6,928,146,24.14,10,22
51,2036,rcp8p5,811,164,26.9,140,0
52,2037,rcp2p6,893,166,24.42,20,13
53,2037,rcp8p5,1015,166,24.029999,3,37
54,2038,rcp2p6,995,151,24.88,29,18
55,2038,rcp8p5,869,142,25.73,72,5
56,2039,rcp2p6,856,141,24.38,7,37
57,2039,rcp8p5,827,153,25.849998,65,0
58,2040,rcp2p6,921,156,25.25,29,14
59,2040,rcp8p5,898,154,24.43,18,23
60,2041,rcp2p6,762,145,25.89,88,6
61,2041,rcp8p5,774,152,25.17,22,11
62,2042,rcp2p6,777,167,24.51,40,25
63,2042,rcp8p5,884,159,25.06,32,21
64,2043,rcp2p6,845,159,23.869999,2,31
65,2043,rcp8p5,792,142,25.189999,38,12
66,2044,rcp2p6,864,148,24.859999,43,28
67,2044,rcp8p5,916,134,26.289999,81,1
68,2045,rcp2p6,835,154,24.92,44,19
69,2045,rcp8p5,847,162,26.119999,63,0
70,2046,rcp2p6,740,149,24.81,34,30
71,2046,rcp8p5,932,163,25.08,18,9
72,2047,rcp2p6,777,151,26.119999,80,3
73,2047,rcp8p5,918,156,25.26,44,4
74,2048,rcp2p6,833,157,25.199999,45,9
75,2048,rcp8p5,945,151,25.41,37,5
76,2049,rcp2p6,964,160,24.1,14,28
77,2049,rcp8p5,879,147,24.939999,8,8
78,2050,rcp2p6,901,146,23.81,2,21
79,2050,rcp8p5,859,167,26.33,72,1
80,2051,rcp2p6,918,152,23.869999,3,33
81,2051,rcp8p5,782,149,26.279999,123,0
82,2052,rcp2p6,901,154,24.71,21,13
83,2052,rcp8p5,957,162,24.529999,8,26
84,2053,rcp2p6,895,164,25.41,35,7
85,2053,rcp8p5,727,144,25.88,71,7
86,2054,rcp2p6,892,159,24.72,40,14
87,2054,rcp8p5,706,145,26.83,126,0
88,2055,rcp2p6,874,146,24.769999,18,11
89,2055,rcp8p5,965,154,24.869999,13,11
90,2056,rcp2p6,789,161,25.63,46,0
91,2056,rcp8p5,976,156,25.05,22,2
92,2057,rcp2p6,883,154,23.99,6,32
93,2057,rcp8p5,998,139,25.99,58,1
94,2058,rcp2p6,998,144,24.18,1,14
95,2058,rcp8p5,989,150,26.05,49,0
96,2059,rcp2p6,877,163,24.65,18,16
97,2059,rcp8p5,950,144,24.5,11,14
98,2060,rcp2p6,693,147,24.46,38,21
99,2060,rcp8p5,887,147,25.3,25,0
100,2061,rcp2p6,755,156,25.01,43,10
101,2061,rcp8p5,754,153,25.72,62,2
102,2062,rcp2p6,825,149,25.84,91,9
103,2062,rcp8p5,912,165,25.63,27,2
104,2063,rcp2p6,912,155,23.91,6,42
105,2063,rcp8p5,908,157,27.55,138,0
106,2064,rcp2p6,737,153,25.09,54,16
107,2064,rcp8p5,907,128,26.109999,93,11
108,2065,rcp2p6,902,151,24.939999,17,17
109,2065,rcp8p5,1045,177,25.14,30,5
110,2066,rcp2p6,970,170,24.5,12,7
111,2066,rcp8p5,932,156,26.34,76,1
112,2067,rcp2p6,988,166,24.31,7,28
113,2067,rcp8p5,799,148,26.13,84,2
114,2068,rcp2p6,903,163,24.17,5,32
115,2068,rcp8p5,852,149,25.939999,64,2
116,2069,rcp2p6,890,148,25.199999,33,2
117,2069,rcp8p5,723,139,27.279999,118,0
118,2070,rcp2p6,746,131,26.9,105,3
119,2070,rcp8p5,838,158,26.439999,96,7
120,2071,rcp2p6,1038,162,25.59,56,16
121,2071,rcp8p5,984,149,25.25,23,4
122,2072,rcp2p6,897,151,23.689999,2,42
123,2072,rcp8p5,1014,162,25.859999,50,4
124,2073,rcp2p6,879,166,24.949999,38,8
125,2073,rcp8p5,709,154,26.359999,77,1
126,2074,rcp2p6,774,134,25.109999,30,9
127,2074,rcp8p5,819,149,25.59,52,0
128,2075,rcp2p6,859,152,24.88,30,19
129,2075,rcp8p5,845,149,26.18,104,2
130,2076,rcp2p6,768,148,24.96,25,5
131,2076,rcp8p5,886,153,25.76,59,0
132,2077,rcp2p6,948,154,24.74,11,7
133,2077,rcp8p5,886,161,26.42,80,0
134,2078,rcp2p6,801,159,24.82,35,16
135,2078,rcp8p5,903,157,26.97,96,0
136,2079,rcp2p6,863,163,24.439999,10,23
137,2079,rcp8p5,881,159,25.81,52,5
138,2080,rcp2p6,954,149,24.289999,18,42
139,2080,rcp8p5,986,155,26.75,96,0
140,2081,rcp2p6,727,142,24.519999,46,31
141,2081,rcp8p5,1109,164,26.939999,96,0
142,2082,rcp2p6,738,157,25.599998,86,10
143,2082,rcp8p5,972,150,26.34,50,0
144,2083,rcp2p6,878,153,25.0,50,8
145,2083,rcp8p5,1031,146,26.4,69,0
146,2084,rcp2p6,836,142,24.4,27,12
147,2084,rcp8p5,836,143,26.46,102,0
148,2085,rcp2p6,828,144,24.32,10,19
149,2085,rcp8p5,1159,157,26.75,88,0
150,2086,rcp2p6,778,151,24.769999,21,8
151,2086,rcp8p5,1065,156,26.8,87,0
152,2087,rcp2p6,825,153,24.71,19,5
153,2087,rcp8p5,891,159,26.42,72,0
154,2088,rcp2p6,777,148,24.66,14,7
155,2088,rcp8p5,961,169,27.039999,82,0
156,2089,rcp2p6,739,142,26.22,72,10
157,2089,rcp8p5,1097,163,26.689999,59,0
158,2090,rcp2p6,817,157,25.49,81,11
159,2090,rcp8p5,1037,170,26.65,76,0
160,2091,rcp2p6,979,158,23.949999,3,11
161,2091,rcp8p5,827,144,26.57,81,0
162,2092,rcp2p6,979,150,24.35,8,20
163,2092,rcp8p5,860,158,27.039999,118,1
164,2093,rcp2p6,973,156,25.31,50,19
165,2093,rcp8p5,1159,161,26.82,94,0
166,2094,rcp2p6,814,152,24.619999,34,24
167,2094,rcp8p5,820,146,26.55,70,0
168,2095,rcp2p6,863,156,24.279999,6,11
169,2095,rcp8p5,952,147,26.51,75,0
170,2096,rcp2p6,831,160,25.14,25,8
171,2096,rcp8p5,922,155,27.14,127,0
172,2097,rcp2p6,908,151,25.31,35,10
173,2097,rcp8p5,865,155,27.939999,166,0
174,2098,rcp2p6,946,149,23.869999,3,53
175,2098,rcp8p5,1052,154,27.49,152,0
176,2099,rcp2p6,841,147,25.4,30,7
177,2099,rcp8p5,928,149,27.26,143,0
