,year,rcp,precipitation_mm,rain_days,mean_temp,tmax35,tmin15
0,2011,rcp2p6,750,150,25.4,52,14
1,2011,rcp8p5,989,158,23.81,2,47
2,2012,rcp2p6,834,136,24.01,9,31
3,2012,rcp8p5,1013,160,23.91,8,40
4,2013,rcp2p6,960,161,23.689999,9,46
5,2013,rcp8p5,796,154,24.67,30,23
6,2014,rcp2p6,896,162,24.43,16,19
7,2014,rcp8p5,764,144,25.18,69,21
8,2015,rcp2p6,723,155,24.949999,17,5
9,2015,rcp8p5,672,157,25.779999,108,8
10,2016,rcp2p6,837,147,24.189999,7,35
11,2016,rcp8p5,967,142,23.91,6,33
12,2017,rcp2p6,927,150,24.779999,21,29
13,2017,rcp8p5,917,158,24.789999,15,0
14,2018,rcp2p6,827,158,24.84,45,27
15,2018,rcp8p5,739,149,24.09,15,23
16,2019,rcp2p6,853,140,24.42,21,28
17,2019,rcp8p5,934,134,23.91,22,66
18,2020,rcp2p6,954,154,24.92,26,10
19,2020,rcp8p5,730,151,24.88,36,12
20,2021,rcp2p6,671,140,25.76,83,6
21,2021,rcp8p5,598,149,26.23,90,1
22,2022,rcp2p6,1008,163,24.039999,13,28
23,2022,rcp8p5,778,154,25.07,17,4
24,2023,rcp2p6,798,158,24.38,16,27
25,2023,rcp8p5,751,142,24.17,16,39
26,2024,rcp2p6,906,158,24.35,16,28
27,2024,rcp8p5,884,148,24.369999,8,17
28,2025,rcp2p6,895,163,25.1,38,12
29,2025,rcp8p5,729,148,26.38,86,2
30,2026,rcp2p6,812,153,24.869999,19,11
31,2026,rcp8p5,798,140,25.71,68,2
32,2027,rcp2p6,901,164,24.38,14,18
33,2027,rcp8p5,886,149,23.89,15,22
34,2028,rcp2p6,805,133,24.49,22,31
35,2028,rcp8p5,857,166,24.789999,20,20
36,2029,rcp2p6,856,142,24.56,26,11
37,2029,rcp8p5,748,150,25.49,22,2
38,2030,rcp2p6,706,142,26.279999,86,15
39,2030,rcp8p5,900,145,24.16,7,20
40,2031,rcp2p6,830,156,25.689999,75,15
41,2031,rcp8p5,898,163,24.769999,35,18
42,2032,rcp2p6,906,153,23.519999,0,32
43,2032,rcp8p5,725,157,24.99,65,11
44,2033,rcp2p6,914,161,24.439999,27,18
45,2033,rcp8p5,996,154,24.49,14,20
