Anio	Sup Cosechadas
2021	41168.780950615
2020	43344.339943952
2019	45287.187992124
2018	39402.643051182
2017	42291.994065191
2016	42340.399261622
2015	39117.749840680
2014	32467.940410423
2013	62666.983349790
2012	62828.270526512
2011	54625.097040638
2010	54686.526747660
